,GA,DAT,ANS,simset,sentCount,corrCount,acc
0,0.2,0.05,0.15,1,1000.0,993.0,0.993
1,0.3,0.05,0.15,2,1000.0,994.0,0.994
2,0.4,0.05,0.15,3,1000.0,996.0,0.996
3,0.5,0.05,0.15,4,1000.0,996.0,0.996
4,0.6,0.05,0.15,5,1000.0,993.0,0.993
5,0.7,0.05,0.15,6,1000.0,999.0,0.999
6,0.8,0.05,0.15,7,1000.0,999.0,0.999
7,0.9,0.05,0.15,8,1000.0,1000.0,1.0
8,1.0,0.05,0.15,9,1000.0,1000.0,1.0
9,1.1,0.05,0.15,10,1000.0,999.0,0.999
10,0.2,0.06,0.15,11,1000.0,992.0,0.992
11,0.3,0.06,0.15,12,1000.0,995.0,0.995
12,0.4,0.06,0.15,13,1000.0,990.0,0.99
13,0.5,0.06,0.15,14,1000.0,995.0,0.995
14,0.6,0.06,0.15,15,1000.0,993.0,0.993
15,0.7,0.06,0.15,16,1000.0,997.0,0.997
16,0.8,0.06,0.15,17,1000.0,997.0,0.997
17,0.9,0.06,0.15,18,1000.0,1000.0,1.0
18,1.0,0.06,0.15,19,1000.0,998.0,0.998
19,1.1,0.06,0.15,20,1000.0,999.0,0.999
20,0.2,0.07,0.15,21,1000.0,990.0,0.99
21,0.3,0.07,0.15,22,1000.0,991.0,0.991
22,0.4,0.07,0.15,23,1000.0,987.0,0.987
23,0.5,0.07,0.15,24,1000.0,993.0,0.993
24,0.6,0.07,0.15,25,1000.0,995.0,0.995
25,0.7,0.07,0.15,26,1000.0,992.0,0.992
26,0.8,0.07,0.15,27,1000.0,997.0,0.997
27,0.9,0.07,0.15,28,1000.0,1000.0,1.0
28,1.0,0.07,0.15,29,1000.0,997.0,0.997
29,1.1,0.07,0.15,30,1000.0,999.0,0.999
30,0.2,0.08,0.15,31,1000.0,985.0,0.985
31,0.3,0.08,0.15,32,1000.0,985.0,0.985
32,0.4,0.08,0.15,33,1000.0,992.0,0.992
33,0.5,0.08,0.15,34,1000.0,991.0,0.991
34,0.6,0.08,0.15,35,1000.0,994.0,0.994
35,0.7,0.08,0.15,36,1000.0,989.0,0.989
36,0.8,0.08,0.15,37,1000.0,999.0,0.999
37,0.9,0.08,0.15,38,1000.0,996.0,0.996
38,1.0,0.08,0.15,39,1000.0,997.0,0.997
39,1.1,0.08,0.15,40,1000.0,998.0,0.998
40,0.2,0.09,0.15,41,1000.0,984.0,0.984
41,0.3,0.09,0.15,42,1000.0,978.0,0.978
42,0.4,0.09,0.15,43,1000.0,984.0,0.984
43,0.5,0.09,0.15,44,1000.0,993.0,0.993
44,0.6,0.09,0.15,45,1000.0,990.0,0.99
45,0.7,0.09,0.15,46,1000.0,994.0,0.994
46,0.8,0.09,0.15,47,1000.0,996.0,0.996
47,0.9,0.09,0.15,48,1000.0,995.0,0.995
48,1.0,0.09,0.15,49,1000.0,996.0,0.996
49,1.1,0.09,0.15,50,1000.0,996.0,0.996
50,0.2,0.1,0.15,51,1000.0,984.0,0.984
51,0.3,0.1,0.15,52,1000.0,988.0,0.988
52,0.4,0.1,0.15,53,1000.0,987.0,0.987
53,0.5,0.1,0.15,54,1000.0,986.0,0.986
54,0.6,0.1,0.15,55,1000.0,993.0,0.993
55,0.7,0.1,0.15,56,1000.0,995.0,0.995
56,0.8,0.1,0.15,57,1000.0,990.0,0.99
57,0.9,0.1,0.15,58,1000.0,990.0,0.99
58,1.0,0.1,0.15,59,1000.0,996.0,0.996
59,1.1,0.1,0.15,60,1000.0,999.0,0.999
60,0.2,0.05,0.2,61,1000.0,953.0,0.953
61,0.3,0.05,0.2,62,1000.0,961.0,0.961
62,0.4,0.05,0.2,63,1000.0,964.0,0.964
63,0.5,0.05,0.2,64,1000.0,982.0,0.982
64,0.6,0.05,0.2,65,1000.0,981.0,0.981
65,0.7,0.05,0.2,66,1000.0,982.0,0.982
66,0.8,0.05,0.2,67,1000.0,981.0,0.981
67,0.9,0.05,0.2,68,1000.0,989.0,0.989
68,1.0,0.05,0.2,69,1000.0,989.0,0.989
69,1.1,0.05,0.2,70,1000.0,989.0,0.989
70,0.2,0.06,0.2,71,1000.0,943.0,0.943
71,0.3,0.06,0.2,72,1000.0,952.0,0.952
72,0.4,0.06,0.2,73,1000.0,964.0,0.964
73,0.5,0.06,0.2,74,1000.0,973.0,0.973
74,0.6,0.06,0.2,75,1000.0,976.0,0.976
75,0.7,0.06,0.2,76,1000.0,977.0,0.977
76,0.8,0.06,0.2,77,1000.0,983.0,0.983
77,0.9,0.06,0.2,78,1000.0,983.0,0.983
78,1.0,0.06,0.2,79,1000.0,989.0,0.989
79,1.1,0.06,0.2,80,1000.0,981.0,0.981
80,0.2,0.07,0.2,81,1000.0,931.0,0.931
81,0.3,0.07,0.2,82,1000.0,957.0,0.957
82,0.4,0.07,0.2,83,1000.0,951.0,0.951
83,0.5,0.07,0.2,84,1000.0,966.0,0.966
84,0.6,0.07,0.2,85,1000.0,969.0,0.969
85,0.7,0.07,0.2,86,1000.0,975.0,0.975
86,0.8,0.07,0.2,87,1000.0,976.0,0.976
87,0.9,0.07,0.2,88,1000.0,988.0,0.988
88,1.0,0.07,0.2,89,1000.0,983.0,0.983
89,1.1,0.07,0.2,90,1000.0,985.0,0.985
90,0.2,0.08,0.2,91,1000.0,940.0,0.94
91,0.3,0.08,0.2,92,1000.0,948.0,0.948
92,0.4,0.08,0.2,93,1000.0,958.0,0.958
93,0.5,0.08,0.2,94,1000.0,968.0,0.968
94,0.6,0.08,0.2,95,1000.0,968.0,0.968
95,0.7,0.08,0.2,96,1000.0,974.0,0.974
96,0.8,0.08,0.2,97,1000.0,976.0,0.976
97,0.9,0.08,0.2,98,1000.0,978.0,0.978
98,1.0,0.08,0.2,99,1000.0,983.0,0.983
99,1.1,0.08,0.2,100,1000.0,976.0,0.976
100,0.2,0.09,0.2,101,1000.0,942.0,0.942
101,0.3,0.09,0.2,102,1000.0,949.0,0.949
102,0.4,0.09,0.2,103,1000.0,953.0,0.953
103,0.5,0.09,0.2,104,1000.0,957.0,0.957
104,0.6,0.09,0.2,105,1000.0,958.0,0.958
105,0.7,0.09,0.2,106,1000.0,976.0,0.976
106,0.8,0.09,0.2,107,1000.0,978.0,0.978
107,0.9,0.09,0.2,108,1000.0,972.0,0.972
108,1.0,0.09,0.2,109,1000.0,979.0,0.979
109,1.1,0.09,0.2,110,1000.0,984.0,0.984
110,0.2,0.1,0.2,111,1000.0,936.0,0.936
111,0.3,0.1,0.2,112,1000.0,950.0,0.95
112,0.4,0.1,0.2,113,1000.0,957.0,0.957
113,0.5,0.1,0.2,114,1000.0,967.0,0.967
114,0.6,0.1,0.2,115,1000.0,966.0,0.966
115,0.7,0.1,0.2,116,1000.0,964.0,0.964
116,0.8,0.1,0.2,117,1000.0,974.0,0.974
117,0.9,0.1,0.2,118,1000.0,978.0,0.978
118,1.0,0.1,0.2,119,1000.0,979.0,0.979
119,1.1,0.1,0.2,120,1000.0,978.0,0.978
120,0.2,0.05,0.25,121,1000.0,904.0,0.904
121,0.3,0.05,0.25,122,1000.0,919.0,0.919
122,0.4,0.05,0.25,123,1000.0,921.0,0.921
123,0.5,0.05,0.25,124,1000.0,932.0,0.932
124,0.6,0.05,0.25,125,1000.0,941.0,0.941
125,0.7,0.05,0.25,126,1000.0,944.0,0.944
126,0.8,0.05,0.25,127,1000.0,959.0,0.959
127,0.9,0.05,0.25,128,1000.0,957.0,0.957
128,1.0,0.05,0.25,129,1000.0,962.0,0.962
129,1.1,0.05,0.25,130,1000.0,957.0,0.957
130,0.2,0.06,0.25,131,1000.0,898.0,0.898
131,0.3,0.06,0.25,132,1000.0,905.0,0.905
132,0.4,0.06,0.25,133,1000.0,918.0,0.918
133,0.5,0.06,0.25,134,1000.0,919.0,0.919
134,0.6,0.06,0.25,135,1000.0,930.0,0.93
135,0.7,0.06,0.25,136,1000.0,942.0,0.942
136,0.8,0.06,0.25,137,1000.0,935.0,0.935
137,0.9,0.06,0.25,138,1000.0,948.0,0.948
138,1.0,0.06,0.25,139,1000.0,943.0,0.943
139,1.1,0.06,0.25,140,1000.0,955.0,0.955
140,0.2,0.07,0.25,141,1000.0,901.0,0.901
141,0.3,0.07,0.25,142,1000.0,895.0,0.895
142,0.4,0.07,0.25,143,1000.0,905.0,0.905
143,0.5,0.07,0.25,144,1000.0,923.0,0.923
144,0.6,0.07,0.25,145,1000.0,936.0,0.936
145,0.7,0.07,0.25,146,1000.0,930.0,0.93
146,0.8,0.07,0.25,147,1000.0,926.0,0.926
147,0.9,0.07,0.25,148,1000.0,936.0,0.936
148,1.0,0.07,0.25,149,1000.0,966.0,0.966
149,1.1,0.07,0.25,150,1000.0,958.0,0.958
150,0.2,0.08,0.25,151,1000.0,872.0,0.872
151,0.3,0.08,0.25,152,1000.0,884.0,0.884
152,0.4,0.08,0.25,153,1000.0,915.0,0.915
153,0.5,0.08,0.25,154,1000.0,923.0,0.923
154,0.6,0.08,0.25,155,1000.0,937.0,0.937
155,0.7,0.08,0.25,156,1000.0,915.0,0.915
156,0.8,0.08,0.25,157,1000.0,947.0,0.947
157,0.9,0.08,0.25,158,1000.0,938.0,0.938
158,1.0,0.08,0.25,159,1000.0,940.0,0.94
159,1.1,0.08,0.25,160,1000.0,946.0,0.946
160,0.2,0.09,0.25,161,1000.0,878.0,0.878
161,0.3,0.09,0.25,162,1000.0,892.0,0.892
162,0.4,0.09,0.25,163,1000.0,893.0,0.893
163,0.5,0.09,0.25,164,1000.0,916.0,0.916
164,0.6,0.09,0.25,165,1000.0,928.0,0.928
165,0.7,0.09,0.25,166,1000.0,934.0,0.934
166,0.8,0.09,0.25,167,1000.0,928.0,0.928
167,0.9,0.09,0.25,168,1000.0,943.0,0.943
168,1.0,0.09,0.25,169,1000.0,938.0,0.938
