,GA,DAT,ANS,simset,sentCount,corrCount,acc
0,0.2,0.05,0.15,1,1000.0,995.0,0.995
1,0.3,0.05,0.15,2,1000.0,996.0,0.996
2,0.4,0.05,0.15,3,1000.0,997.0,0.997
3,0.5,0.05,0.15,4,1000.0,997.0,0.997
4,0.6,0.05,0.15,5,1000.0,997.0,0.997
5,0.7,0.05,0.15,6,1000.0,1000.0,1.0
6,0.8,0.05,0.15,7,1000.0,1000.0,1.0
7,0.9,0.05,0.15,8,1000.0,1000.0,1.0
8,1.0,0.05,0.15,9,1000.0,1000.0,1.0
9,1.1,0.05,0.15,10,1000.0,997.0,0.997
10,0.2,0.06,0.15,11,1000.0,997.0,0.997
11,0.3,0.06,0.15,12,1000.0,997.0,0.997
12,0.4,0.06,0.15,13,1000.0,995.0,0.995
13,0.5,0.06,0.15,14,1000.0,996.0,0.996
14,0.6,0.06,0.15,15,1000.0,998.0,0.998
15,0.7,0.06,0.15,16,1000.0,996.0,0.996
16,0.8,0.06,0.15,17,1000.0,1000.0,1.0
17,0.9,0.06,0.15,18,1000.0,998.0,0.998
18,1.0,0.06,0.15,19,1000.0,1000.0,1.0
19,1.1,0.06,0.15,20,1000.0,999.0,0.999
20,0.2,0.07,0.15,21,1000.0,992.0,0.992
21,0.3,0.07,0.15,22,1000.0,997.0,0.997
22,0.4,0.07,0.15,23,1000.0,997.0,0.997
23,0.5,0.07,0.15,24,1000.0,996.0,0.996
24,0.6,0.07,0.15,25,1000.0,997.0,0.997
25,0.7,0.07,0.15,26,1000.0,996.0,0.996
26,0.8,0.07,0.15,27,1000.0,996.0,0.996
27,0.9,0.07,0.15,28,1000.0,998.0,0.998
28,1.0,0.07,0.15,29,1000.0,997.0,0.997
29,1.1,0.07,0.15,30,1000.0,996.0,0.996
30,0.2,0.08,0.15,31,1000.0,991.0,0.991
31,0.3,0.08,0.15,32,1000.0,994.0,0.994
32,0.4,0.08,0.15,33,1000.0,998.0,0.998
33,0.5,0.08,0.15,34,1000.0,995.0,0.995
34,0.6,0.08,0.15,35,1000.0,997.0,0.997
35,0.7,0.08,0.15,36,1000.0,997.0,0.997
36,0.8,0.08,0.15,37,1000.0,999.0,0.999
37,0.9,0.08,0.15,38,1000.0,999.0,0.999
38,1.0,0.08,0.15,39,1000.0,999.0,0.999
39,1.1,0.08,0.15,40,1000.0,1000.0,1.0
40,0.2,0.09,0.15,41,1000.0,989.0,0.989
41,0.3,0.09,0.15,42,1000.0,993.0,0.993
42,0.4,0.09,0.15,43,1000.0,995.0,0.995
43,0.5,0.09,0.15,44,1000.0,997.0,0.997
44,0.6,0.09,0.15,45,1000.0,996.0,0.996
45,0.7,0.09,0.15,46,1000.0,999.0,0.999
46,0.8,0.09,0.15,47,1000.0,999.0,0.999
47,0.9,0.09,0.15,48,1000.0,999.0,0.999
48,1.0,0.09,0.15,49,1000.0,1000.0,1.0
49,1.1,0.09,0.15,50,1000.0,1000.0,1.0
50,0.2,0.1,0.15,51,1000.0,998.0,0.998
51,0.3,0.1,0.15,52,1000.0,993.0,0.993
52,0.4,0.1,0.15,53,1000.0,993.0,0.993
53,0.5,0.1,0.15,54,1000.0,997.0,0.997
54,0.6,0.1,0.15,55,1000.0,992.0,0.992
55,0.7,0.1,0.15,56,1000.0,995.0,0.995
56,0.8,0.1,0.15,57,1000.0,999.0,0.999
57,0.9,0.1,0.15,58,1000.0,996.0,0.996
58,1.0,0.1,0.15,59,1000.0,996.0,0.996
59,1.1,0.1,0.15,60,1000.0,998.0,0.998
60,0.2,0.05,0.2,61,1000.0,977.0,0.977
61,0.3,0.05,0.2,62,1000.0,981.0,0.981
62,0.4,0.05,0.2,63,1000.0,983.0,0.983
63,0.5,0.05,0.2,64,1000.0,985.0,0.985
64,0.6,0.05,0.2,65,1000.0,992.0,0.992
65,0.7,0.05,0.2,66,1000.0,983.0,0.983
66,0.8,0.05,0.2,67,1000.0,989.0,0.989
67,0.9,0.05,0.2,68,1000.0,993.0,0.993
68,1.0,0.05,0.2,69,1000.0,991.0,0.991
69,1.1,0.05,0.2,70,1000.0,993.0,0.993
70,0.2,0.06,0.2,71,1000.0,966.0,0.966
71,0.3,0.06,0.2,72,1000.0,986.0,0.986
72,0.4,0.06,0.2,73,1000.0,985.0,0.985
73,0.5,0.06,0.2,74,1000.0,976.0,0.976
74,0.6,0.06,0.2,75,1000.0,983.0,0.983
75,0.7,0.06,0.2,76,1000.0,993.0,0.993
76,0.8,0.06,0.2,77,1000.0,990.0,0.99
77,0.9,0.06,0.2,78,1000.0,990.0,0.99
78,1.0,0.06,0.2,79,1000.0,992.0,0.992
79,1.1,0.06,0.2,80,1000.0,990.0,0.99
80,0.2,0.07,0.2,81,1000.0,965.0,0.965
81,0.3,0.07,0.2,82,1000.0,979.0,0.979
82,0.4,0.07,0.2,83,1000.0,981.0,0.981
83,0.5,0.07,0.2,84,1000.0,981.0,0.981
84,0.6,0.07,0.2,85,1000.0,984.0,0.984
85,0.7,0.07,0.2,86,1000.0,982.0,0.982
86,0.8,0.07,0.2,87,1000.0,983.0,0.983
87,0.9,0.07,0.2,88,1000.0,994.0,0.994
88,1.0,0.07,0.2,89,1000.0,987.0,0.987
89,1.1,0.07,0.2,90,1000.0,992.0,0.992
90,0.2,0.08,0.2,91,1000.0,957.0,0.957
91,0.3,0.08,0.2,92,1000.0,977.0,0.977
92,0.4,0.08,0.2,93,1000.0,986.0,0.986
93,0.5,0.08,0.2,94,1000.0,986.0,0.986
94,0.6,0.08,0.2,95,1000.0,983.0,0.983
95,0.7,0.08,0.2,96,1000.0,986.0,0.986
96,0.8,0.08,0.2,97,1000.0,991.0,0.991
97,0.9,0.08,0.2,98,1000.0,985.0,0.985
98,1.0,0.08,0.2,99,1000.0,990.0,0.99
99,1.1,0.08,0.2,100,1000.0,989.0,0.989
100,0.2,0.09,0.2,101,1000.0,970.0,0.97
101,0.3,0.09,0.2,102,1000.0,972.0,0.972
102,0.4,0.09,0.2,103,1000.0,978.0,0.978
103,0.5,0.09,0.2,104,1000.0,981.0,0.981
104,0.6,0.09,0.2,105,1000.0,976.0,0.976
105,0.7,0.09,0.2,106,1000.0,987.0,0.987
106,0.8,0.09,0.2,107,1000.0,991.0,0.991
107,0.9,0.09,0.2,108,1000.0,987.0,0.987
108,1.0,0.09,0.2,109,1000.0,983.0,0.983
109,1.1,0.09,0.2,110,1000.0,993.0,0.993
110,0.2,0.1,0.2,111,1000.0,975.0,0.975
111,0.3,0.1,0.2,112,1000.0,973.0,0.973
112,0.4,0.1,0.2,113,1000.0,972.0,0.972
113,0.5,0.1,0.2,114,1000.0,982.0,0.982
114,0.6,0.1,0.2,115,1000.0,965.0,0.965
115,0.7,0.1,0.2,116,1000.0,985.0,0.985
116,0.8,0.1,0.2,117,1000.0,990.0,0.99
117,0.9,0.1,0.2,118,1000.0,989.0,0.989
118,1.0,0.1,0.2,119,1000.0,988.0,0.988
119,1.1,0.1,0.2,120,1000.0,991.0,0.991
120,0.2,0.05,0.25,121,1000.0,947.0,0.947
121,0.3,0.05,0.25,122,1000.0,950.0,0.95
122,0.4,0.05,0.25,123,1000.0,958.0,0.958
123,0.5,0.05,0.25,124,1000.0,965.0,0.965
124,0.6,0.05,0.25,125,1000.0,966.0,0.966
125,0.7,0.05,0.25,126,1000.0,968.0,0.968
126,0.8,0.05,0.25,127,1000.0,978.0,0.978
127,0.9,0.05,0.25,128,1000.0,980.0,0.98
128,1.0,0.05,0.25,129,1000.0,975.0,0.975
129,1.1,0.05,0.25,130,1000.0,980.0,0.98
130,0.2,0.06,0.25,131,1000.0,937.0,0.937
131,0.3,0.06,0.25,132,1000.0,942.0,0.942
132,0.4,0.06,0.25,133,1000.0,950.0,0.95
133,0.5,0.06,0.25,134,1000.0,964.0,0.964
134,0.6,0.06,0.25,135,1000.0,954.0,0.954
135,0.7,0.06,0.25,136,1000.0,978.0,0.978
136,0.8,0.06,0.25,137,1000.0,970.0,0.97
137,0.9,0.06,0.25,138,1000.0,977.0,0.977
138,1.0,0.06,0.25,139,1000.0,981.0,0.981
139,1.1,0.06,0.25,140,1000.0,969.0,0.969
140,0.2,0.07,0.25,141,1000.0,921.0,0.921
141,0.3,0.07,0.25,142,1000.0,938.0,0.938
142,0.4,0.07,0.25,143,1000.0,945.0,0.945
143,0.5,0.07,0.25,144,1000.0,952.0,0.952
144,0.6,0.07,0.25,145,1000.0,962.0,0.962
145,0.7,0.07,0.25,146,1000.0,965.0,0.965
146,0.8,0.07,0.25,147,1000.0,965.0,0.965
147,0.9,0.07,0.25,148,1000.0,978.0,0.978
148,1.0,0.07,0.25,149,1000.0,974.0,0.974
149,1.1,0.07,0.25,150,1000.0,972.0,0.972
150,0.2,0.08,0.25,151,1000.0,925.0,0.925
151,0.3,0.08,0.25,152,1000.0,945.0,0.945
152,0.4,0.08,0.25,153,1000.0,942.0,0.942
153,0.5,0.08,0.25,154,1000.0,941.0,0.941
154,0.6,0.08,0.25,155,1000.0,956.0,0.956
155,0.7,0.08,0.25,156,1000.0,961.0,0.961
156,0.8,0.08,0.25,157,1000.0,969.0,0.969
157,0.9,0.08,0.25,158,1000.0,968.0,0.968
158,1.0,0.08,0.25,159,1000.0,971.0,0.971
159,1.1,0.08,0.25,160,1000.0,972.0,0.972
