"grp" "aphgrp" "subj" "contr" "sent" "item" "seg" "acc" "rt" "senttype"
"1678" "EC" "EC" 24001 "SOSS" "SO" 1 "a" 1 342 "expt"
"1679" "EC" "EC" 24001 "SOSS" "SO" 1 "b" 1 591 "expt"
"1680" "EC" "EC" 24001 "SOSS" "SO" 1 "c" 1 461 "expt"
"1681" "EC" "EC" 24001 "SOSS" "SO" 1 "d" 1 545 "expt"
"1682" "EC" "EC" 24001 "SOSS" "SO" 1 "e" 1 607 "expt"
"1683" "EC" "EC" 24001 "SOSS" "SO" 1 "f" 1 NA "expt"
"1684" "EC" "EC" 24001 "SOSS" "SO" 2 "a" 1 219 "expt"
"1685" "EC" "EC" 24001 "SOSS" "SO" 2 "b" 1 431 "expt"
"1686" "EC" "EC" 24001 "SOSS" "SO" 2 "c" 1 257 "expt"
"1687" "EC" "EC" 24001 "SOSS" "SO" 2 "d" 1 361 "expt"
"1688" "EC" "EC" 24001 "SOSS" "SO" 2 "e" 1 418 "expt"
"1689" "EC" "EC" 24001 "SOSS" "SO" 2 "f" 1 NA "expt"
"1690" "EC" "EC" 24001 "SOSS" "SO" 3 "a" 1 523 "expt"
"1691" "EC" "EC" 24001 "SOSS" "SO" 3 "b" 1 949 "expt"
"1692" "EC" "EC" 24001 "SOSS" "SO" 3 "c" 1 756 "expt"
"1693" "EC" "EC" 24001 "SOSS" "SO" 3 "d" 1 970 "expt"
"1694" "EC" "EC" 24001 "SOSS" "SO" 3 "e" 1 783 "expt"
"1695" "EC" "EC" 24001 "SOSS" "SO" 3 "f" 1 NA "expt"
"1696" "EC" "EC" 24001 "SOSS" "SO" 4 "a" 1 171 "expt"
"1697" "EC" "EC" 24001 "SOSS" "SO" 4 "b" 1 369 "expt"
"1698" "EC" "EC" 24001 "SOSS" "SO" 4 "c" 1 279 "expt"
"1699" "EC" "EC" 24001 "SOSS" "SO" 4 "d" 1 437 "expt"
"1700" "EC" "EC" 24001 "SOSS" "SO" 4 "e" 1 363 "expt"
"1701" "EC" "EC" 24001 "SOSS" "SO" 4 "f" 1 NA "expt"
"1702" "EC" "EC" 24001 "SOSS" "SO" 5 "a" 1 640 "expt"
"1703" "EC" "EC" 24001 "SOSS" "SO" 5 "b" 1 928 "expt"
"1704" "EC" "EC" 24001 "SOSS" "SO" 5 "c" 1 464 "expt"
"1705" "EC" "EC" 24001 "SOSS" "SO" 5 "d" 1 783 "expt"
"1706" "EC" "EC" 24001 "SOSS" "SO" 5 "e" 1 494 "expt"
"1707" "EC" "EC" 24001 "SOSS" "SO" 5 "f" 1 NA "expt"
"1708" "EC" "EC" 24001 "SOSS" "SO" 6 "a" 1 2160 "expt"
"1709" "EC" "EC" 24001 "SOSS" "SO" 6 "b" 1 5056 "expt"
"1710" "EC" "EC" 24001 "SOSS" "SO" 6 "c" 1 581 "expt"
"1711" "EC" "EC" 24001 "SOSS" "SO" 6 "d" 1 447 "expt"
"1712" "EC" "EC" 24001 "SOSS" "SO" 6 "e" 1 480 "expt"
"1713" "EC" "EC" 24001 "SOSS" "SO" 6 "f" 1 NA "expt"
"1714" "EC" "EC" 24001 "SOSS" "SO" 7 "a" 1 908 "expt"
"1715" "EC" "EC" 24001 "SOSS" "SO" 7 "b" 1 537 "expt"
"1716" "EC" "EC" 24001 "SOSS" "SO" 7 "c" 1 182 "expt"
"1717" "EC" "EC" 24001 "SOSS" "SO" 7 "d" 1 678 "expt"
"1718" "EC" "EC" 24001 "SOSS" "SO" 7 "e" 1 752 "expt"
"1719" "EC" "EC" 24001 "SOSS" "SO" 7 "f" 1 NA "expt"
"1720" "EC" "EC" 24001 "SOSS" "SO" 8 "a" 1 171 "expt"
"1721" "EC" "EC" 24001 "SOSS" "SO" 8 "b" 1 361 "expt"
"1722" "EC" "EC" 24001 "SOSS" "SO" 8 "c" 1 277 "expt"
"1723" "EC" "EC" 24001 "SOSS" "SO" 8 "d" 1 451 "expt"
"1724" "EC" "EC" 24001 "SOSS" "SO" 8 "e" 1 569 "expt"
"1725" "EC" "EC" 24001 "SOSS" "SO" 8 "f" 1 NA "expt"
"1726" "EC" "EC" 24001 "SOSS" "SO" 9 "a" 1 1102 "expt"
"1727" "EC" "EC" 24001 "SOSS" "SO" 9 "b" 1 577 "expt"
"1728" "EC" "EC" 24001 "SOSS" "SO" 9 "c" 1 517 "expt"
"1729" "EC" "EC" 24001 "SOSS" "SO" 9 "d" 1 664 "expt"
"1730" "EC" "EC" 24001 "SOSS" "SO" 9 "e" 1 963 "expt"
"1731" "EC" "EC" 24001 "SOSS" "SO" 9 "f" 1 NA "expt"
"1732" "EC" "EC" 24001 "SOSS" "SO" 10 "a" 1 144 "expt"
"1733" "EC" "EC" 24001 "SOSS" "SO" 10 "b" 1 360 "expt"
"1734" "EC" "EC" 24001 "SOSS" "SO" 10 "c" 1 151 "expt"
"1735" "EC" "EC" 24001 "SOSS" "SO" 10 "d" 1 196 "expt"
"1736" "EC" "EC" 24001 "SOSS" "SO" 10 "e" 1 229 "expt"
"1737" "EC" "EC" 24001 "SOSS" "SO" 10 "f" 1 NA "expt"
"1738" "EC" "EC" 24001 "SOSS" "SO" 11 "a" 1 275 "expt"
"1739" "EC" "EC" 24001 "SOSS" "SO" 11 "b" 1 805 "expt"
"1740" "EC" "EC" 24001 "SOSS" "SO" 11 "c" 1 599 "expt"
"1741" "EC" "EC" 24001 "SOSS" "SO" 11 "d" 1 573 "expt"
"1742" "EC" "EC" 24001 "SOSS" "SO" 11 "e" 1 602 "expt"
"1743" "EC" "EC" 24001 "SOSS" "SO" 11 "f" 1 NA "expt"
"1744" "EC" "EC" 24001 "SOSS" "SO" 12 "a" 1 196 "expt"
"1745" "EC" "EC" 24001 "SOSS" "SO" 12 "b" 1 449 "expt"
"1746" "EC" "EC" 24001 "SOSS" "SO" 12 "c" 1 165 "expt"
"1747" "EC" "EC" 24001 "SOSS" "SO" 12 "d" 1 355 "expt"
"1748" "EC" "EC" 24001 "SOSS" "SO" 12 "e" 1 197 "expt"
"1749" "EC" "EC" 24001 "SOSS" "SO" 12 "f" 1 NA "expt"
"1750" "EC" "EC" 24001 "SOSS" "SO" 13 "a" 1 300 "expt"
"1751" "EC" "EC" 24001 "SOSS" "SO" 13 "b" 1 461 "expt"
"1752" "EC" "EC" 24001 "SOSS" "SO" 13 "c" 1 740 "expt"
"1753" "EC" "EC" 24001 "SOSS" "SO" 13 "d" 1 837 "expt"
"1754" "EC" "EC" 24001 "SOSS" "SO" 13 "e" 1 595 "expt"
"1755" "EC" "EC" 24001 "SOSS" "SO" 13 "f" 1 NA "expt"
"1756" "EC" "EC" 24001 "SOSS" "SO" 14 "a" 1 48 "expt"
"1757" "EC" "EC" 24001 "SOSS" "SO" 14 "b" 1 353 "expt"
"1758" "EC" "EC" 24001 "SOSS" "SO" 14 "c" 1 301 "expt"
"1759" "EC" "EC" 24001 "SOSS" "SO" 14 "d" 1 373 "expt"
"1760" "EC" "EC" 24001 "SOSS" "SO" 14 "e" 1 539 "expt"
"1761" "EC" "EC" 24001 "SOSS" "SO" 14 "f" 1 NA "expt"
"1762" "EC" "EC" 24001 "SOSS" "SO" 15 "a" 1 366 "expt"
"1763" "EC" "EC" 24001 "SOSS" "SO" 15 "b" 1 565 "expt"
"1764" "EC" "EC" 24001 "SOSS" "SO" 15 "c" 1 451 "expt"
"1765" "EC" "EC" 24001 "SOSS" "SO" 15 "d" 1 767 "expt"
"1766" "EC" "EC" 24001 "SOSS" "SO" 15 "e" 1 843 "expt"
"1767" "EC" "EC" 24001 "SOSS" "SO" 15 "f" 1 NA "expt"
"1768" "EC" "EC" 24001 "SOSS" "SO" 16 "a" 1 296 "expt"
"1769" "EC" "EC" 24001 "SOSS" "SO" 16 "b" 1 340 "expt"
"1770" "EC" "EC" 24001 "SOSS" "SO" 16 "c" 1 327 "expt"
"1771" "EC" "EC" 24001 "SOSS" "SO" 16 "d" 1 329 "expt"
"1772" "EC" "EC" 24001 "SOSS" "SO" 16 "e" 1 411 "expt"
"1773" "EC" "EC" 24001 "SOSS" "SO" 16 "f" 1 NA "expt"
"1774" "EC" "EC" 24001 "SOSS" "SO" 17 "a" 1 184 "expt"
"1775" "EC" "EC" 24001 "SOSS" "SO" 17 "b" 1 453 "expt"
