grp;grp2;aphgrp;perfgrp;subj;contr;contrnum;sent;item;acc;rt;cleanRT;senttype;corr;N;PerCorr;chance
EC;EC;EC;EC;24001;COCS;1;CO;1;1;528;528;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;2;1;250;250;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;3;1;779;779;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;4;1;512;512;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;5;1;1122;1122;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;6;0;2791;2791;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;7;1;580;580;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;8;1;241;241;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;9;1;382;382;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;10;1;241;241;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;11;1;429;429;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;12;0;1957;1957;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;13;1;333;333;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;14;1;1288;1288;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;15;1;382;382;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;16;1;203;203;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;17;1;2259;2159,091472;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;18;1;803;803;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;19;1;700;700;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CO;20;1;704;704;expt;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;1;1;806;806;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;2;1;798;798;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;3;1;455;455;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;4;1;536;536;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;5;1;525;525;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;6;0;549;549;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;7;1;643;643;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;8;1;428;428;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;9;1;695;695;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;10;1;98;98;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;11;1;612;612;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;12;0;462;462;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;13;1;1062;1062;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;14;1;382;382;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;15;1;691;691;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;16;1;384;384;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;17;1;736;736;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;18;1;377;377;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;19;1;480;480;base;18;20;90;above
EC;EC;EC;EC;24001;COCS;1;CS;20;1;326;326;base;18;20;90;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;1;1;1507;1507;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;2;1;192;192;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;3;1;1355;1355;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;4;1;1056;1056;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;5;1;795;795;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;6;1;648;648;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;7;1;352;352;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;8;1;1123;1123;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;9;1;360;360;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;10;1;504;504;base;20;20;100;above
EC;EC;EC;EC;24001;PRO3NP;1;3NP;11;1;1178;1178;base;20;20;100;above
