,simset,condition,GA,DAT,ANS,sentCount,corrCountEmbV,corrCountRefl,acc_embV,acc_refl
0,1,SR-REFL,0.25,0.05,0.15,2000.0,992.0,991.0,0.992,0.991
1,1,OR-REFL,0.25,0.05,0.15,2000.0,989.0,983.0,0.989,0.983
2,2,SR-REFL,0.5,0.05,0.15,2000.0,987.0,987.0,0.987,0.987
3,2,OR-REFL,0.5,0.05,0.15,2000.0,991.0,986.0,0.991,0.986
4,3,SR-REFL,0.75,0.05,0.15,2000.0,991.0,991.0,0.991,0.991
5,3,OR-REFL,0.75,0.05,0.15,2000.0,991.0,989.0,0.991,0.989
6,4,SR-REFL,1.0,0.05,0.15,2000.0,994.0,993.0,0.994,0.993
7,4,OR-REFL,1.0,0.05,0.15,2000.0,994.0,993.0,0.994,0.993
8,5,SR-REFL,0.25,0.06,0.15,2000.0,989.0,988.0,0.989,0.988
9,5,OR-REFL,0.25,0.06,0.15,2000.0,991.0,986.0,0.991,0.986
10,6,SR-REFL,0.5,0.06,0.15,2000.0,986.0,984.0,0.986,0.984
11,6,OR-REFL,0.5,0.06,0.15,2000.0,991.0,986.0,0.991,0.986
12,7,SR-REFL,0.75,0.06,0.15,2000.0,987.0,986.0,0.987,0.986
13,7,OR-REFL,0.75,0.06,0.15,2000.0,992.0,988.0,0.992,0.988
14,8,SR-REFL,1.0,0.06,0.15,2000.0,989.0,989.0,0.989,0.989
15,8,OR-REFL,1.0,0.06,0.15,2000.0,989.0,983.0,0.989,0.983
16,9,SR-REFL,0.25,0.07,0.15,2000.0,985.0,981.0,0.985,0.981
17,9,OR-REFL,0.25,0.07,0.15,2000.0,988.0,988.0,0.988,0.988
18,10,SR-REFL,0.5,0.07,0.15,2000.0,988.0,982.0,0.988,0.982
19,10,OR-REFL,0.5,0.07,0.15,2000.0,987.0,984.0,0.987,0.984
20,11,SR-REFL,0.75,0.07,0.15,2000.0,987.0,985.0,0.987,0.985
21,11,OR-REFL,0.75,0.07,0.15,2000.0,986.0,983.0,0.986,0.983
